City,District,Latitude,Longitude
Kyiv,Holossijiw,50.340463,30.552943
Kyiv,Sviatoshynskyi,50.465895,30.340899
Kyiv,Solomianskyi,50.428417,30.452390
Kyiv,Obolonskyi,50.501431,30.497548
Kyiv,Podilskyi,50.504455,30.423153
Kyiv,Pecherskyi,50.428782,30.543265
Kyiv,Shevchenkivskyi,50.465007,30.472188
Kyiv,Darnytskyi,50.409012,30.677287
Kyiv,Dniprovskyi,50.454127,30.602018
Kyiv,Desnianskyi,50.516639,30.607183
Kharkiv,Shevchenkivskyi,50.043332,36.221213
Kharkiv,Kyivskyi,50.042352,36.302577
Kharkiv,Slobidskyi,49.944131,36.282172
Kharkiv,Osnovianskyi,49.937761,36.239656
Kharkiv,Kholodnohirskyi,50.006473,36.180640
Kharkiv,Moskovskyi,49.998253,36.314906
Kharkiv,Novobavarskyi,49.950876,36.165208
Kharkiv,Industrialnyi,49.933503,36.405567
Kharkiv,Nemyshlyanskyi,49.963085,36.333047
Odessa,Suvorovsky,46.534475,30.729469
Odessa,Prymorsky,46.476193,30.742848
Odessa,Malynovsky,46.458316,30.680526
Odessa,Kyivsky,46.393540,30.727537
Dnipro,Amur-Nyzhnodniprovskyi,48.517912,34.998314
Dnipro,Shevchenkivskyi,48.408799,35.012917
Dnipro,Sobornyi,48.429569,35.058036
Dnipro,Industrialnyi,48.522197,35.079210
Dnipro,Tsentralnyi,48.462277,35.025990
Dnipro,Chechelivskyi,48.435958,34.986224
Dnipro,Novokodatskyi,48.471688,34.886712
Dnipro,Samarskyi,48.483577,35.133972
Zaporizhia,Oleksandrivskyi,47.822009,35.169259
Zaporizhia,Komunarskyi,47.783100,35.220643
Zaporizhia,Dneprovsky,47.879215,35.061631
Zaporizhia,Voznesenskyi,47.841617,35.121328
Zaporizhia,Khortytskyi,47.825323,35.038116
Zaporizhia,Shevchenkivskyi,47.848618,35.233953
Lviv,Halytskyi,49.838636,24.028182
Lviv,Zaliznychnyi,49.828326,23.952861
Lviv,Lychakivskyi,49.838829,24.069552
Lviv,Frankivskyi,49.814863,24.001331
Lviv,Shevchenkivskyi,49.857351,24.015899
Lviv,Sykhivskyi,49.797655,24.053275
Kryvyi Rih,Dolgintsevskiy,47.912365,33.458830
Kryvyi Rih,Inhuletskyi,47.837433,33.321826
Kryvyi Rih,Metalurhiynyy,47.881646,33.393945
Kryvyi Rih,Pokrovsky,48.019842,33.466228
Kryvyi Rih,Saksahanskyi,47.945405,33.411358
Kryvyi Rih,Ternivskyi,48.116374,33.538502
Kryvyi Rih,Tsentral'no-Gorodskoy,47.897843,33.319511
Kherson,Suvorovskiy,46.669802,32.606380
Kherson,Korabel'nyy,46.640976,32.580265
Kherson,Dneprovsky,46.667623,32.647434
